product_name,product_link,stock
【晨一鮮食】平民版人蔘 精氣神補滿滿🆙🆙 鹹酥牛蒡脆片80g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49128344,58
🚀產地直送 中秋創意必吃果乾 白柚🆚紅柚 雙色柚果盒100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852774,92
【鳳松林】 老字號手炒醬料 蒜蓉溫剁椒醬180g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43976642,834
◤Sonne ◥ 台灣生技大廠 ⭕成分簡單更安心👩‍👩‍👧‍👦 ➕添加專利益生菌➕ 晶鑽羊乳片100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43914677,169
晨一鮮食 🌞纖消暑一夏 有料的茶磚 🍋冬瓜檸檬尬羅勒籽茶磚🧉200g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p47418862,66
◆Miin Shop◆ 質感韓系 回購率100%好穿又好看 莫蘭迪系列中筒襪10雙入(10色各一),https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p44922032,126
【晨一鮮食】💦啾C啾C~ 酸甜適中超好吃!!🎉單顆方便小包裝 💥爆汁小金桔100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p48776600,256
💎餐桌上的鑽石💎 Fresh Truffles 松露椒鹽80g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49128350,59
【晨一鮮食】真正台灣古早味🧑‍🦳 肉厚飽滿😋酸甜生津 陳皮化應子160g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p50125797,60
💯醬香~💯豆香~💯辣椒香~ 😋超下飯!!【鳳松林】古早醬香 甕香豆豉辣椒170g【箱出】,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p47418863,501
【鳳松林】💯料理的靈魂🤤超香~~一拌上癮!! 🍜老店紅蔥頭拌醬【箱出】200g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p39454247,351
【晨一鮮食】員林老廠秘製隱藏版甘宋梅 150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p38990531,412
Sonne 對抗3C👁的保養品 全家人都能吃👏👏 睛讚葉黃素口含錠(藍莓風味)-60顆,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p44338471,229
"文創品牌 花蓮鳳松林-秘製 蔭油剝皮'脆 ""辣椒 380克🌶️🌶️【24罐1箱】",https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p42532574,115
【SONNE】養潤🗣不卡卡 🐝純正巴西蜂膠添加 🏆蜂膠青草喉糖70g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262980,100
能量果乾 天然花青素-黑鑽微糖桑椹乾100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p40518666,83
【晨一鮮食】 素食界拌醬王 👑 傳統好味道 菇菇拌醬170g(全素),https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p45863693,245
【晨一鮮食】自然C 清✅香✅甜 天然の無籽蜜柑瓣150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p40626532,73
【晨一鮮食】山珍海味 高山高麗菜乾X嫩海帶芽85g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p42610593,101
【晨一鮮食】😍台菜主流調味料.ᐟ.ᐟ 🌟正統台灣味~一撒入魂✨超百搭 炸物✅蔥油餅✅ 超台味塔香椒鹽100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262945,91
台灣甜x爽x脆高山高麗菜乾(沖泡煮湯式)230g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p39746640,241
【晨一鮮食】 好吃健康💯少鹽少油😍誰都無法拒絕酥脆口感⚡ 纖纖綜合藜麥棒150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262981,145
㊣九龍堂 🆕新包裝🫰懷舊古早味 無花果絲100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p42610592,199
【鳳松林】 嫩✅脆✅鮮 涼拌/煮湯/炒菜 🪸乾燥海帶芽梗絲30g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p50125800,333
㊣九龍堂 👉茶餐廳必喝咸檸七!!潤聲話梅檸檬🍺地道港味馬上有~港式沖泡咸檸檬片150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852814,92
【晨一鮮食】百香果蜜400g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43265336,135
【晨一鮮食】古法醃製 果肉厚實超大粒 雪霜酸李150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p46855147,86
【晨一鮮食】台灣最夯愛文芒果 😋 酸甜適中有彈性 🥭愛文芒果青80g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49987446,91
【晨一鮮食】刷新味蕾⛄清爽涼感 ✅涼感無籽冰梅50g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852776,248
英式特濃 王妃級午茶必備 💂‍♂️英倫厚．奶茶250g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49128315,167
📢📢獨家上市📢📢抖音特色美食 沖泡5min即食🚫免煮👌常溫⚡快速方便 陝西涼皮4入,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852772,133
【晨一鮮食】降溫去暑氣 天然清香 冷泡也🉑 氧生菊花青茶90g【約30入】,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p46855150,137
台灣小吃的㊙美味關鍵 👨‍🌾古早味油蔥酥200g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p46614439,111
【鳳松林】冬天不可少的台灣味 拌麵拌青菜/火鍋/煮湯都OK 濃香純黑麻油老薑泥(全素)170g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43976641,249
【晨一鮮食】美國進口莓果 🇺🇸 天然的紅藍寶石🫐 藍莓乾➕蔓越莓 🆕生機雙莓果乾100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49987445,63
九龍堂 新鮮檸檬🍋清爽茶香🌱 ㊣港式凍檸茶180g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49987442,232
【茶香弄】酸酸甜甜🧊冷🔥熱都好喝 葡萄柚CHIA綠茶磚170g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51325733,2403
【晨一鮮食】🌿去籽藥香黑橄欖 180g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43335673,70
｜AURÉLIE｜韓國🇰🇷彩妝師推薦😍底妝輕透薄🎀奶油肌粉底抹刀(贈收納皮套+隨身鏡),https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262983,133
【晨一鮮食】下午茶方便回購NO.1 🏆隨身沖泡更便利 暖身潤喉 🍋冰糖金桔檸檬磚200g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43132077,242
｜鳳松林｜花蓮🌄六十石山-❌無硫🉐高山金針花50g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p42160363,51
天然又厚工的古早味 老藥鋪的養潤飲品 【養生楊桃蜜】300ml,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p40904992,54
✨本土特有香氣!!吃完還想再吃~🔥 【晨一鮮食】營養價值🆙🆙 低負擔零嘴 紅心芭樂乾60g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p39003785,372
【晨一鮮食】皮脆果肉超juicy💯 糖漬精釀😋解膩生津 🌱茶香金棗150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262960,85
【晨一鮮食】🍎TW水果王國 天然ㄟ尚好 營養口感雙滿分💯 滿分水果脆片80g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p52262962,227
【鳳松林】台灣在地種植 手洗DIY愛玉籽20g(附洗袋),https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43132071,85
調味大師 每一口都蒜嘴 有粒蒜胡椒100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p40991642,74
【茶香弄】茶純奶香 大包裝CP值💥爆表 ☕金牌經典奶茶【200g】,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49987489,65
【晨一鮮食】加鮮🦑更美味 吃貨必備👍 墨魚香絲80g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852813,54
【晨一鮮食】⛄清涼古早味DIY ✅飯後點心✅飲品加料 🟡雙色Q粉粿80g🟤,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51852771,351
【晨一鮮食】經典手搖品牌 🏆招牌人氣飲品 冰糖8冰綠茶磚170g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p43914683,976
【晨一鮮食】香甜新滋味🤩 泰泰椰汁奶李150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p51325732,160
調味大師 中秋夯肉🥩必備 串燒店美味秘訣 串燒店秘製烤肉粉100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p47418868,89
【夏日清涼促銷】❌0技巧❌0備料 只要熱水就能做 👩‍🍳香濃傳統嫩豆花粉150g【價格調降！】,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p49128349,343
✨✨台灣生技廠SONNE 專利製成益生菌 全齡口腔保健 護牙益生菌STS-1【罐裝60顆】,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p40991639,294
調味大師 ➕顧客指定回購➕ 香氣十足💯 精品級調味粉 ㊙秘製特規唐辛子(純素)100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p47418869,75
【晨一鮮食】酸甜紅寶石 醃製入味超解膩 嘉義梅山洛神梅180g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p47653583,55
【晨一鮮食】醉人酒香風味 老陳釀紹興酒梅150g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p44922033,73
✨玩美膠點 日本市佔第一🏆 日本nippi膠原蛋白 💎晶嫩肌膠原蛋白15入,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p48776598,84
日本人養生の秘密 純正天然🚫無添加 紫蘇梅膏320g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p44687356,88
｜鎮德蔘藥行｜香料現磨 炒炸萬用👍餐廳用特規比例🏆冠軍五香粉100g,https://www.shop2000.com.tw/%E6%99%A8%E4%B8%80/p50125796,52
